date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:01:44	24/24	------	200	untouched ('OK')	text/plain	etag:%2264968472-18%22	https://aviatorpredict.com/robots.txt		(from )
21:01:44	25242/25242	------	200	untouched ('OK')	text/html	date:Wed,%2023%20Aug%202023%2017:57:18%20GMT	https://aviatorpredict.com/	C:/Users/CASPER/Desktop/aviaotrr/a/aviatorpredict.com/index.html	(from )
21:01:44	156/156	------	400	error ('Bad%20Request')	text/html	date:Wed,%2023%20Aug%202023%2017:57:22%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/CASPER/Desktop/aviaotrr/a/www.googletagmanager.com/gtm.95445.delayed	(from https://aviatorpredict.com/)
21:01:44	24614/24614	------	200	untouched ('OK')	text/html	date:Fri,%2028%20Jul%202023%2017:11:29%20GMT	https://aviatorpredict.com/es/	C:/Users/CASPER/Desktop/aviaotrr/a/aviatorpredict.com/es/index.html	(from https://aviatorpredict.com/)
21:01:44	25153/25153	------	200	untouched ('OK')	text/html	date:Fri,%2028%20Jul%202023%2017:11:29%20GMT	https://aviatorpredict.com/fr/	C:/Users/CASPER/Desktop/aviaotrr/a/aviatorpredict.com/fr/index.html	(from https://aviatorpredict.com/)
21:01:44	24647/24647	------	200	untouched ('OK')	text/html	date:Fri,%2028%20Jul%202023%2017:11:29%20GMT	https://aviatorpredict.com/de/	C:/Users/CASPER/Desktop/aviaotrr/a/aviatorpredict.com/de/index.html	(from https://aviatorpredict.com/)
21:01:44	23875/23875	------	200	untouched ('OK')	text/html	date:Fri,%2028%20Jul%202023%2017:11:29%20GMT	https://aviatorpredict.com/pt/	C:/Users/CASPER/Desktop/aviaotrr/a/aviatorpredict.com/pt/index.html	(from https://aviatorpredict.com/)
21:01:45	23690/23690	------	200	untouched ('OK')	text/html	date:Fri,%2028%20Jul%202023%2017:11:29%20GMT	https://aviatorpredict.com/ko/	C:/Users/CASPER/Desktop/aviaotrr/a/aviatorpredict.com/ko/index.html	(from https://aviatorpredict.com/)
21:01:45	23891/23891	------	200	untouched ('OK')	text/html	date:Fri,%2028%20Jul%202023%2017:11:29%20GMT	https://aviatorpredict.com/az/	C:/Users/CASPER/Desktop/aviaotrr/a/aviatorpredict.com/az/index.html	(from https://aviatorpredict.com/)
21:01:45	23294/23294	------	200	untouched ('OK')	text/html	date:Fri,%2028%20Jul%202023%2017:11:29%20GMT	https://aviatorpredict.com/uz/	C:/Users/CASPER/Desktop/aviaotrr/a/aviatorpredict.com/uz/index.html	(from https://aviatorpredict.com/)
21:01:45	30848/30848	------	200	untouched ('OK')	text/html	date:Fri,%2028%20Jul%202023%2017:11:29%20GMT	https://aviatorpredict.com/in/	C:/Users/CASPER/Desktop/aviaotrr/a/aviatorpredict.com/in/index.html	(from https://aviatorpredict.com/)
21:01:45	29666/29666	------	200	untouched ('OK')	text/html	date:Fri,%2028%20Jul%202023%2017:11:29%20GMT	https://aviatorpredict.com/bn/	C:/Users/CASPER/Desktop/aviaotrr/a/aviatorpredict.com/bn/index.html	(from https://aviatorpredict.com/)
21:01:45	24380/24380	------	200	untouched ('OK')	text/html	date:Fri,%2028%20Jul%202023%2016:52:22%20GMT	https://aviatorpredict.com/tr/	C:/Users/CASPER/Desktop/aviaotrr/a/aviatorpredict.com/tr/index.html	(from https://aviatorpredict.com/)
21:01:45	15086/15086	------	200	untouched ('')	image/x-icon	etag:W/%2264918dfe-3aee%22	https://aviatorpredict.com/favicon.ico	C:/Users/CASPER/Desktop/aviaotrr/a/aviatorpredict.com/favicon.ico	(from https://aviatorpredict.com/)
21:01:45	12358/12358	------	200	untouched ('')	image/png	etag:%2264918dfd-3046%22	https://aviatorpredict.com/apple-touch-icon.png	C:/Users/CASPER/Desktop/aviaotrr/a/aviatorpredict.com/apple-touch-icon.png	(from https://aviatorpredict.com/)
